ID,bed,bath,acre_lot,city,state,zip_code,house_size,price,sold_previously
Del1,3.0,1.0,0.11,New Castle,Delaware,19720.0,1275.0,68900.0,0
Del2,4.0,2.0,0.17,New Castle,Delaware,19720.0,2072.0,199900.0,1
Del3,5.0,,0.05,Wilmington,Delaware,19805.0,2175.0,195000.0,0
Del4,6.0,2.0,0.07,Wilmington,Delaware,19801.0,2525.0,85000.0,0
Del5,,,0.03,Wilmington,Delaware,19802.0,,70000.0,0
Del6,3.0,2.0,0.4,Bear,Delaware,19701.0,1975.0,150000.0,1
Del7,2.0,1.0,0.1,New Castle,Delaware,19720.0,500.0,121000.0,0
Del8,2.0,2.0,0.05,Wilmington,Delaware,19805.0,1680.0,169000.0,0
Del9,3.0,2.0,0.03,Wilmington,Delaware,19801.0,3034.0,119900.0,1
Del10,2.0,2.0,,Wilmington,Delaware,19801.0,,93000.0,0
Del11,,,0.14,Wilmington,Delaware,19805.0,,50000.0,1
Del12,4.0,2.0,0.04,Wilmington,Delaware,19802.0,1800.0,110000.0,1
Del13,3.0,1.0,0.15,New Castle,Delaware,19720.0,1375.0,99900.0,1
Del14,3.0,3.0,0.34,New Castle,Delaware,19720.0,2480.0,355000.0,1
Del15,4.0,1.0,0.03,Wilmington,Delaware,19805.0,1600.0,130000.0,1
Del16,3.0,2.0,0.05,Wilmington,Delaware,19802.0,1375.0,65000.0,1
Del17,4.0,2.0,0.22,New Castle,Delaware,19720.0,1600.0,175000.0,0
Del18,2.0,2.0,0.02,Wilmington,Delaware,19805.0,2000.0,220000.0,1
Del19,,,0.07,Wilmington,Delaware,19805.0,,55000.0,1
Del20,3.0,2.0,0.03,Wilmington,Delaware,19805.0,1200.0,194999.0,1
Del21,2.0,1.0,0.03,Wilmington,Delaware,19805.0,1075.0,156900.0,1
Del22,3.0,2.0,0.12,New Castle,Delaware,19720.0,1025.0,190000.0,1
Del23,3.0,1.0,0.03,Wilmington,Delaware,19805.0,1175.0,80000.0,1
Del24,3.0,2.0,0.2,Wilmington,Delaware,19808.0,1500.0,169000.0,1
Del25,4.0,1.0,0.02,Wilmington,Delaware,19805.0,2070.0,154000.0,1
Del26,3.0,3.0,0.08,Wilmington,Delaware,19805.0,,350000.0,1
Del27,1.0,1.0,0.08,New Castle,Delaware,19720.0,650.0,147500.0,1
Del28,2.0,2.0,0.02,Wilmington,Delaware,19801.0,1075.0,62000.0,1
Del29,2.0,1.0,0.02,Wilmington,Delaware,19805.0,1250.0,99900.0,1
Del30,2.0,1.0,0.01,Wilmington,Delaware,19805.0,650.0,72900.0,1
Del31,4.0,4.0,0.06,New Castle,Delaware,19720.0,4049.0,649000.0,1
Del32,3.0,2.0,0.13,New Castle,Delaware,19720.0,1795.0,441990.0,0
Del33,3.0,3.0,0.1,New Castle,Delaware,19720.0,1200.0,269900.0,0
Del34,3.0,1.0,0.03,Wilmington,Delaware,19805.0,1325.0,98900.0,1
Del35,3.0,1.0,0.02,Wilmington,Delaware,19805.0,1075.0,85000.0,1
Del36,3.0,2.0,0.14,New Castle,Delaware,19720.0,2390.0,449990.0,0
Del37,3.0,1.0,0.03,Wilmington,Delaware,19801.0,1125.0,149900.0,1
Del38,3.0,2.0,0.17,New Castle,Delaware,19720.0,1550.0,265000.0,1
Del39,3.0,3.0,0.15,New Castle,Delaware,19720.0,2180.0,459990.0,0
Del40,3.0,3.0,0.17,Wilmington,Delaware,19804.0,1643.0,349900.0,1
Del41,2.0,2.0,0.1,New Castle,Delaware,19720.0,1878.0,399990.0,0
Del42,3.0,2.0,0.14,New Castle,Delaware,19720.0,1420.0,419990.0,0
Del43,3.0,2.0,0.14,New Castle,Delaware,19720.0,1695.0,429990.0,0
Del44,3.0,2.0,0.13,New Castle,Delaware,19720.0,1250.0,409990.0,0
Del45,2.0,3.0,0.05,New Castle,Delaware,19720.0,1325.0,235000.0,1
Del46,2.0,2.0,0.09,Wilmington,Delaware,19802.0,1275.0,80000.0,1
Del47,2.0,2.0,,Wilmington,Delaware,19809.0,1000.0,70000.0,1
Del48,3.0,3.0,0.04,Wilmington,Delaware,19801.0,1600.0,225000.0,0
Del49,4.0,3.0,0.18,New Castle,Delaware,19720.0,1925.0,200000.0,0
Del50,3.0,1.0,0.02,Wilmington,Delaware,19805.0,1225.0,110000.0,1
Del51,2.0,1.0,0.1,Wilmington,Delaware,19804.0,975.0,199900.0,1
Del52,3.0,1.0,0.08,Wilmington,Delaware,19804.0,1050.0,174900.0,1
Del53,3.0,2.0,0.03,Wilmington,Delaware,19802.0,1050.0,164900.0,1
Del54,3.0,2.0,0.06,Wilmington,Delaware,19802.0,1425.0,220000.0,1
Del55,,,0.03,Wilmington,Delaware,19801.0,,19995.0,0
