ID,bed,bath,acre_lot,city,state,zip_code,house_size,price,sold_previously,latitude,longitude
NewH1,2.0,2.0,0.41,Fitzwilliam,New Hampshire,3447.0,1948.0,995000.0,0,42.7592,-72.14794
NewH2,2.0,2.0,0.09,Troy,New Hampshire,3465.0,1176.0,229900.0,1,42.82677,-72.18988
NewH3,4.0,2.0,0.4,Fitzwilliam,New Hampshire,3447.0,1547.0,499000.0,0,42.7592,-72.14794
NewH4,4.0,2.0,1.6,Winchester,New Hampshire,3470.0,1864.0,135000.0,0,42.77869,-72.34413
NewH5,3.0,2.0,1.5,Winchester,New Hampshire,3470.0,1880.0,239900.0,0,42.77869,-72.34413
NewH6,3.0,2.0,1.61,Winchester,New Hampshire,3470.0,2077.0,365000.0,0,42.77869,-72.34413
NewH7,2.0,1.0,0.75,Winchester,New Hampshire,3470.0,738.0,79900.0,0,42.77869,-72.34413
NewH8,3.0,1.0,0.22,Hinsdale,New Hampshire,3451.0,5588.0,375000.0,0,42.80907,-72.50029
NewH9,3.0,1.0,5.16,Hinsdale,New Hampshire,3451.0,924.0,189000.0,1,42.80907,-72.50029
NewH10,4.0,1.0,0.23,Hinsdale,New Hampshire,3451.0,1319.0,240000.0,1,42.80907,-72.50029
NewH11,2.0,1.0,0.36,Hinsdale,New Hampshire,3451.0,936.0,178500.0,0,42.80907,-72.50029
NewH12,3.0,2.0,0.06,Hinsdale,New Hampshire,3451.0,1240.0,149900.0,0,42.80907,-72.50029
NewH13,6.0,3.0,1.31,Hinsdale,New Hampshire,3451.0,2721.0,250000.0,0,42.80907,-72.50029
NewH14,3.0,1.0,0.12,Hinsdale,New Hampshire,3451.0,1548.0,199000.0,1,42.80907,-72.50029
NewH15,3.0,2.0,0.09,Hinsdale,New Hampshire,3451.0,2198.0,259000.0,0,42.80907,-72.50029
NewH16,5.0,2.0,0.11,Hinsdale,New Hampshire,3451.0,1994.0,239000.0,0,42.80907,-72.50029
NewH17,3.0,1.0,0.22,Hinsdale,New Hampshire,3451.0,5588.0,375000.0,0,42.80907,-72.50029
NewH18,2.0,2.0,0.41,Fitzwilliam,New Hampshire,3447.0,1948.0,995000.0,0,42.7592,-72.14794
NewH19,4.0,1.0,0.23,Hinsdale,New Hampshire,3451.0,1319.0,240000.0,1,42.80907,-72.50029
NewH20,2.0,1.0,0.36,Hinsdale,New Hampshire,3451.0,936.0,178500.0,0,42.80907,-72.50029
NewH21,2.0,1.0,0.11,Fitzwilliam,New Hampshire,3447.0,820.0,250000.0,0,42.7592,-72.14794
NewH22,4.0,2.0,0.4,Fitzwilliam,New Hampshire,3447.0,1547.0,499000.0,0,42.7592,-72.14794
NewH23,3.0,2.0,0.06,Hinsdale,New Hampshire,3451.0,1240.0,149900.0,0,42.80907,-72.50029
NewH24,4.0,2.0,1.6,Winchester,New Hampshire,3470.0,1864.0,135000.0,0,42.77869,-72.34413
NewH25,3.0,2.0,1.5,Winchester,New Hampshire,3470.0,1880.0,239900.0,0,42.77869,-72.34413
NewH26,3.0,2.0,1.61,Winchester,New Hampshire,3470.0,2077.0,365000.0,0,42.77869,-72.34413
NewH27,3.0,1.0,0.12,Hinsdale,New Hampshire,3451.0,1548.0,199000.0,1,42.80907,-72.50029
NewH28,6.0,3.0,1.31,Hinsdale,New Hampshire,3451.0,2721.0,250000.0,0,42.80907,-72.50029
NewH29,2.0,1.0,0.75,Winchester,New Hampshire,3470.0,738.0,79900.0,0,42.77869,-72.34413
NewH30,2.0,1.0,0.75,Winchester,New Hampshire,3470.0,738.0,79900.0,0,42.77869,-72.34413
NewH31,3.0,1.0,0.12,Hinsdale,New Hampshire,3451.0,1548.0,199000.0,1,42.80907,-72.50029
NewH32,3.0,2.0,0.09,Hinsdale,New Hampshire,3451.0,2198.0,259000.0,0,42.80907,-72.50029
NewH33,5.0,2.0,0.11,Hinsdale,New Hampshire,3451.0,1994.0,239000.0,0,42.80907,-72.50029
NewH34,3.0,1.0,0.12,Hinsdale,New Hampshire,3451.0,1548.0,199000.0,1,42.80907,-72.50029
NewH35,6.0,3.0,1.31,Hinsdale,New Hampshire,3451.0,2721.0,250000.0,0,42.80907,-72.50029
NewH36,3.0,2.0,0.09,Hinsdale,New Hampshire,3451.0,2198.0,259000.0,0,42.80907,-72.50029
NewH37,5.0,2.0,0.11,Hinsdale,New Hampshire,3451.0,1994.0,239000.0,0,42.80907,-72.50029
NewH38,2.0,1.0,0.75,Winchester,New Hampshire,3470.0,738.0,79900.0,0,42.77869,-72.34413
NewH39,3.0,2.0,1.5,Winchester,New Hampshire,3470.0,1880.0,239900.0,0,42.77869,-72.34413
NewH40,3.0,1.0,0.12,Hinsdale,New Hampshire,3451.0,1548.0,199000.0,1,42.80907,-72.50029
NewH41,6.0,3.0,1.31,Hinsdale,New Hampshire,3451.0,2721.0,250000.0,0,42.80907,-72.50029
NewH42,3.0,2.0,0.09,Hinsdale,New Hampshire,3451.0,2198.0,259000.0,0,42.80907,-72.50029
NewH43,5.0,2.0,0.11,Hinsdale,New Hampshire,3451.0,1994.0,239000.0,0,42.80907,-72.50029
