ID,bed,bath,acre_lot,city,state,zip_code,house_size,price,sold_previously,latitude,longitude
NewY1,3.0,2.0,2.02,Claverack,New York,12521.0,1600.0,425000.0,1,42.17071,-73.65164
NewY2,4.0,2.0,0.24,Copake,New York,12521.0,1239.0,225000.0,1,42.17071,-73.65164
NewY3,3.0,3.0,1.9,Copake,New York,12516.0,1800.0,419000.0,0,42.10722,-73.55343
NewY4,3.0,2.0,2.0,Copake,New York,12517.0,1482.0,365000.0,0,42.13392,-73.51103
NewY5,4.0,1.0,4.2,Copake,New York,12516.0,1500.0,299999.0,1,42.10722,-73.55343
NewY6,3.0,2.0,2.9,Hillsdale,New York,12529.0,1404.0,374900.0,1,42.21335,-73.53802
NewY7,3.0,2.0,1.2,Millerton,New York,12546.0,1350.0,375000.0,1,41.96627,-73.53313
NewY8,5.0,4.0,2.0,Copake,New York,12517.0,1482.0,365000.0,0,42.13392,-73.51103
NewY9,3.0,2.0,10.0,Austerlitz,New York,12017.0,1152.0,489900.0,1,42.31453,-73.45682
NewY10,4.0,3.0,1.29,Nassau,New York,12123.0,2274.0,194900.0,0,42.52239,-73.60636
NewY11,2.0,1.0,0.2,Nassau,New York,12123.0,690.0,40000.0,1,42.52239,-73.60636
NewY12,3.0,2.0,1.0,Hoosick Falls,New York,12090.0,980.0,125000.0,0,42.88073,-73.35624
NewY13,3.0,2.0,5.01,East Chatham,New York,12060.0,2504.0,435000.0,1,42.41325,-73.49284
NewY14,4.0,3.0,2.15,Valatie,New York,12184.0,2248.0,429900.0,1,42.42272,-73.65387
NewY15,3.0,1.0,0.32,Niverville,New York,12130.0,1608.0,299900.0,0,42.44156,-73.65835
NewY16,4.0,4.0,12.8,Kinderhook,New York,12106.0,1980.0,649000.0,1,42.38871,-73.71228
NewY17,4.0,3.0,0.28,Philmont,New York,12565.0,2080.0,379500.0,0,42.24849,-73.64584
NewY18,3.0,2.0,2.02,Claverack,New York,12521.0,1600.0,425000.0,1,42.17071,-73.65164
NewY19,3.0,1.0,0.32,Kinderhook,New York,12106.0,1608.0,299900.0,0,42.38871,-73.71228
NewY20,3.0,2.0,0.2,Berlin,New York,12090.0,1344.0,61900.0,0,42.88073,-73.35624
NewY21,3.0,1.0,1.45,Stephentown,New York,12168.0,1386.0,123000.0,0,42.5614,-73.3751
NewY22,3.0,2.0,1.0,Hoosick,New York,12028.0,1056.0,92500.0,0,42.94545,-73.44213
NewY23,1.0,7.0,1.1,Austerlitz,New York,12017.0,7000.0,849000.0,0,42.31453,-73.45682
NewY24,7.0,7.0,1.1,Austerlitz,New York,12017.0,7000.0,849000.0,0,42.31453,-73.45682
NewY25,3.0,2.0,1.85,Copake Falls,New York,12517.0,1657.0,439000.0,0,42.13392,-73.51103
NewY26,6.0,4.0,0.77,Canaan,New York,12029.0,5082.0,279000.0,0,42.40397,-73.42466
NewY27,3.0,2.0,0.49,Austerlitz,New York,12958.0,1302.0,245000.0,0,44.95661,-73.57419
NewY28,6.0,5.0,0.7,Canaan,New York,12029.0,5082.0,279000.0,0,42.40397,-73.42466
NewY29,6.0,4.0,0.77,Canaan,New York,12029.0,5082.0,279000.0,0,42.40397,-73.42466
NewY30,4.0,2.0,11.22,Canaan,New York,12029.0,1931.0,299900.0,1,42.40397,-73.42466
NewY31,1.0,1.0,0.5,Copake,New York,12529.0,418.0,190000.0,0,42.21335,-73.53802
NewY32,3.0,2.0,0.49,Austerlitz,New York,12017.0,1302.0,245000.0,0,42.31453,-73.45682
NewY33,4.0,2.0,6.9,Hillsdale,New York,12529.0,1900.0,329000.0,1,42.21335,-73.53802
NewY34,3.0,2.0,4.25,Copake,New York,12517.0,1512.0,790000.0,1,42.13392,-73.51103
NewY35,2.0,2.0,1.5,Austerlitz,New York,12017.0,1834.0,625000.0,0,42.31453,-73.45682
NewY36,3.0,3.0,2.34,Canaan,New York,12029.0,2000.0,289000.0,0,42.40397,-73.42466
NewY37,4.0,5.0,0.51,New Lebanon,New York,12125.0,3133.0,339000.0,1,42.47633,-73.40394
NewY38,4.0,2.0,5.2,Copake Falls,New York,12517.0,2029.0,625000.0,1,42.13392,-73.51103
NewY39,3.0,2.0,0.65,Canaan,New York,12029.0,1600.0,369900.0,1,42.40397,-73.42466
NewY40,9.0,6.0,1.2,Copake,New York,12517.0,5512.0,595000.0,0,42.13392,-73.51103
NewY41,3.0,3.0,4.0,Copake,New York,12516.0,2240.0,598500.0,0,42.10722,-73.55343
NewY42,3.0,2.0,2.9,Hillsdale,New York,12529.0,1404.0,374900.0,1,42.21335,-73.53802
NewY43,5.0,4.0,2.0,Copake,New York,12517.0,1482.0,365000.0,0,42.13392,-73.51103
NewY44,3.0,2.0,10.0,Austerlitz,New York,12017.0,1152.0,489900.0,1,42.31453,-73.45682
