ID,bed,bath,acre_lot,city,state,zip_code,house_size,price,sold_previously
Rho1,4.0,2.0,2.02,Burrillville,Rhode Island,2830.0,1512.0,350000.0,0
Rho2,3.0,3.0,0.21,Woonsocket,Rhode Island,2895.0,3419.0,399000.0,1
Rho3,4.0,2.0,0.09,North Smithfield,Rhode Island,2896.0,3154.0,329000.0,1
Rho4,3.0,3.0,0.53,Burrillville,Rhode Island,2830.0,1642.0,399000.0,1
Rho5,3.0,1.0,,Woonsocket,Rhode Island,2895.0,1224.0,159900.0,1
Rho6,4.0,2.0,0.25,North Smithfield,Rhode Island,2896.0,1460.0,399000.0,1
Rho7,6.0,5.0,0.12,Woonsocket,Rhode Island,2895.0,3700.0,450000.0,1
Rho8,3.0,2.0,0.21,North Smithfield,Rhode Island,2896.0,1949.0,299900.0,1
Rho9,5.0,4.0,0.12,Woonsocket,Rhode Island,2895.0,2595.0,215000.0,0
Rho10,3.0,1.0,0.1,Woonsocket,Rhode Island,2895.0,1012.0,155000.0,1
Rho11,3.0,2.0,0.11,Woonsocket,Rhode Island,2895.0,1320.0,219900.0,1
Rho12,4.0,1.0,2.02,Burrillville,Rhode Island,2830.0,1368.0,339000.0,1
Rho13,3.0,1.0,0.59,Burrillville,Rhode Island,2859.0,1584.0,265000.0,0
Rho14,3.0,2.0,4.02,Burrillville,Rhode Island,2859.0,1824.0,349000.0,1
Rho15,4.0,2.0,0.26,North Smithfield,Rhode Island,2896.0,1782.0,289900.0,0
Rho16,3.0,2.0,0.15,Woonsocket,Rhode Island,2895.0,2028.0,239900.0,1
Rho17,10.0,4.0,0.3,Woonsocket,Rhode Island,2895.0,6414.0,445000.0,0
Rho18,3.0,1.0,,Woonsocket,Rhode Island,2895.0,1224.0,154900.0,1
Rho19,3.0,2.0,8.5,Burrillville,Rhode Island,2830.0,3109.0,1200000.0,1
Rho20,14.0,4.0,0.12,Woonsocket,Rhode Island,2895.0,5104.0,450000.0,1
Rho21,1.0,1.0,0.39,Woonsocket,Rhode Island,2895.0,6880.0,299900.0,1
Rho22,8.0,4.0,0.24,Woonsocket,Rhode Island,2895.0,5282.0,450000.0,1
Rho23,6.0,3.0,0.13,Woonsocket,Rhode Island,2895.0,4536.0,399000.0,1
Rho24,8.0,4.0,0.17,Woonsocket,Rhode Island,2895.0,4955.0,465000.0,0
Rho25,8.0,4.0,0.17,Woonsocket,Rhode Island,2895.0,5262.0,460000.0,1
Rho26,6.0,3.0,0.08,Woonsocket,Rhode Island,2895.0,3852.0,359000.0,1
Rho27,8.0,3.0,0.25,Woonsocket,Rhode Island,2895.0,3681.0,369900.0,0
Rho28,2.0,2.0,0.24,Woonsocket,Rhode Island,2895.0,1216.0,279900.0,0
Rho29,12.0,4.0,0.12,Woonsocket,Rhode Island,2895.0,6307.0,399900.0,1
Rho30,2.0,2.0,0.24,Woonsocket,Rhode Island,2895.0,1216.0,279900.0,0
Rho31,3.0,1.0,2.06,Burrillville,Rhode Island,2859.0,1488.0,289000.0,1
Rho32,2.0,1.0,0.11,Woonsocket,Rhode Island,2895.0,1120.0,225000.0,1
Rho33,3.0,2.0,0.46,Burrillville,Rhode Island,2859.0,1260.0,199900.0,0
Rho34,3.0,3.0,0.28,Woonsocket,Rhode Island,2895.0,1656.0,295900.0,0
Rho35,1.0,1.0,,Woonsocket,Rhode Island,2895.0,772.0,175000.0,1
Rho36,4.0,3.0,0.6,Woonsocket,Rhode Island,2895.0,3758.0,409000.0,1
Rho37,4.0,4.0,0.14,Burrillville,Rhode Island,2858.0,4464.0,610000.0,1
Rho38,5.0,3.0,0.59,North Smithfield,Rhode Island,2896.0,3659.0,524900.0,0
Rho39,3.0,1.0,0.27,Woonsocket,Rhode Island,2895.0,1006.0,280000.0,0
Rho40,3.0,2.0,17.38,North Smithfield,Rhode Island,2896.0,1872.0,375000.0,0
Rho41,4.0,5.0,0.18,North Smithfield,Rhode Island,2896.0,3974.0,449900.0,1
Rho42,5.0,3.0,0.33,Woonsocket,Rhode Island,2895.0,2344.0,339900.0,0
Rho43,3.0,1.0,0.18,Woonsocket,Rhode Island,2895.0,1176.0,319900.0,0
Rho44,4.0,2.0,0.1,Woonsocket,Rhode Island,2895.0,1551.0,348888.0,0
Rho45,6.0,2.0,0.14,Woonsocket,Rhode Island,2895.0,3126.0,349000.0,1
Rho46,6.0,4.0,0.11,North Smithfield,Rhode Island,2896.0,4314.0,499900.0,1
Rho47,5.0,3.0,1.63,North Smithfield,Rhode Island,2896.0,3676.0,720000.0,1
Rho48,1.0,1.0,,Woonsocket,Rhode Island,2895.0,749.0,184900.0,1
Rho49,4.0,2.0,0.11,North Smithfield,Rhode Island,2896.0,2876.0,399000.0,0
Rho50,8.0,3.0,0.48,North Smithfield,Rhode Island,2896.0,4479.0,599900.0,1
Rho51,3.0,3.0,0.16,Woonsocket,Rhode Island,2895.0,1580.0,389900.0,0
Rho52,7.0,3.0,0.18,Woonsocket,Rhode Island,2895.0,4288.0,399999.0,0
Rho53,3.0,3.0,0.19,Woonsocket,Rhode Island,2895.0,1275.0,419000.0,0
Rho54,2.0,1.0,,Burrillville,Rhode Island,2830.0,875.0,184500.0,0
Rho55,6.0,4.0,0.16,Woonsocket,Rhode Island,2895.0,6960.0,398000.0,1
Rho56,2.0,2.0,0.23,Woonsocket,Rhode Island,2895.0,3990.0,239900.0,1
Rho57,3.0,1.0,,North Smithfield,Rhode Island,2896.0,1669.0,275000.0,0
Rho58,5.0,3.0,2.1,Burrillville,Rhode Island,2859.0,3239.0,599000.0,1
Rho59,3.0,2.0,38.0,Burrillville,Rhode Island,2830.0,1546.0,499000.0,0
Rho60,4.0,2.0,0.23,Woonsocket,Rhode Island,2895.0,3029.0,339900.0,0
Rho61,2.0,2.0,0.15,Woonsocket,Rhode Island,2895.0,2682.0,279000.0,0
Rho62,3.0,2.0,,Woonsocket,Rhode Island,2895.0,1260.0,199900.0,0
Rho63,7.0,3.0,0.15,Woonsocket,Rhode Island,2895.0,5237.0,425000.0,0
Rho64,3.0,2.0,0.46,Burrillville,Rhode Island,2839.0,1632.0,420000.0,1
Rho65,5.0,3.0,0.26,Woonsocket,Rhode Island,2895.0,1985.0,324900.0,1
Rho66,8.0,4.0,0.09,Woonsocket,Rhode Island,2895.0,3888.0,425000.0,0
Rho67,2.0,1.0,0.36,Woonsocket,Rhode Island,2895.0,1092.0,250000.0,0
Rho68,2.0,2.0,,Woonsocket,Rhode Island,2895.0,971.0,219900.0,1
Rho69,3.0,2.0,0.11,Woonsocket,Rhode Island,2895.0,1425.0,269900.0,0
Rho70,3.0,2.0,0.22,North Smithfield,Rhode Island,2896.0,912.0,339000.0,1
Rho71,4.0,2.0,0.24,Woonsocket,Rhode Island,2895.0,1995.0,349900.0,0
Rho72,7.0,3.0,0.11,Woonsocket,Rhode Island,2895.0,4141.0,425000.0,1
Rho73,,,0.13,Woonsocket,Rhode Island,2895.0,,50000.0,0
Rho74,3.0,1.0,0.11,Woonsocket,Rhode Island,2895.0,924.0,239999.0,1
Rho75,2.0,1.0,,Woonsocket,Rhode Island,2895.0,1200.0,189900.0,1
Rho76,4.0,4.0,0.08,Woonsocket,Rhode Island,2895.0,3664.0,410000.0,0
Rho77,3.0,2.0,0.12,Woonsocket,Rhode Island,2895.0,1560.0,299900.0,1
Rho78,6.0,3.0,0.11,Woonsocket,Rhode Island,2895.0,4866.0,349900.0,0
Rho79,5.0,3.0,0.17,Woonsocket,Rhode Island,2895.0,4158.0,325000.0,0
Rho80,3.0,2.0,,Burrillville,Rhode Island,2859.0,1700.0,239900.0,1
Rho81,2.0,1.0,,North Smithfield,Rhode Island,2896.0,1700.0,285000.0,0
Rho82,9.0,3.0,0.37,Woonsocket,Rhode Island,2895.0,6310.0,449999.0,1
Rho83,5.0,4.0,0.51,Burrillville,Rhode Island,2859.0,7306.0,549900.0,0
Rho84,6.0,3.0,0.24,Woonsocket,Rhode Island,2895.0,5429.0,365000.0,0
Rho85,3.0,2.0,0.04,Woonsocket,Rhode Island,2895.0,2795.0,270000.0,0
Rho86,10.0,2.0,0.12,Woonsocket,Rhode Island,2895.0,2504.0,330000.0,1
Rho87,2.0,2.0,0.01,Woonsocket,Rhode Island,2895.0,968.0,190000.0,1
Rho88,2.0,2.0,,Woonsocket,Rhode Island,2895.0,1065.0,225000.0,1
Rho89,3.0,2.0,0.23,North Smithfield,Rhode Island,2896.0,1752.0,399900.0,1
Rho90,3.0,2.0,0.18,Woonsocket,Rhode Island,2895.0,2560.0,279900.0,0
Rho91,3.0,2.0,0.21,Woonsocket,Rhode Island,2895.0,1870.0,329900.0,1
Rho92,5.0,2.0,0.54,Burrillville,Rhode Island,2830.0,2040.0,479900.0,1
Rho93,3.0,2.0,0.94,North Smithfield,Rhode Island,2896.0,1428.0,475000.0,0
Rho94,4.0,2.0,0.7,Burrillville,Rhode Island,2830.0,2256.0,532900.0,0
Rho95,2.0,1.0,,Woonsocket,Rhode Island,2895.0,1000.0,149900.0,1
Rho96,2.0,2.0,,North Smithfield,Rhode Island,2896.0,1496.0,459900.0,1
Rho97,3.0,3.0,2.0,Burrillville,Rhode Island,2830.0,1500.0,449900.0,1
Rho98,3.0,2.0,0.11,Woonsocket,Rhode Island,2895.0,1194.0,325000.0,1
Rho99,9.0,3.0,0.11,Woonsocket,Rhode Island,2895.0,3503.0,299900.0,1
Rho100,3.0,4.0,1.89,Burrillville,Rhode Island,2859.0,6000.0,995000.0,1
Rho101,4.0,2.0,0.22,Woonsocket,Rhode Island,2895.0,3121.0,299900.0,1
Rho102,3.0,3.0,1.16,North Smithfield,Rhode Island,2896.0,1912.0,535000.0,1
Rho103,3.0,2.0,0.1,Woonsocket,Rhode Island,2895.0,1047.0,269994.0,1
Rho104,4.0,2.0,0.09,Woonsocket,Rhode Island,2895.0,2952.0,339900.0,1
Rho105,4.0,2.0,0.12,Woonsocket,Rhode Island,2895.0,1394.0,325000.0,1
Rho106,8.0,3.0,0.13,Woonsocket,Rhode Island,2895.0,6800.0,419900.0,1
Rho107,3.0,1.0,0.77,North Smithfield,Rhode Island,2896.0,1372.0,409999.0,0
Rho108,9.0,4.0,2.9,Burrillville,Rhode Island,2830.0,5700.0,469900.0,0
Rho109,2.0,1.0,,Woonsocket,Rhode Island,2895.0,936.0,239900.0,1
Rho110,3.0,1.0,0.51,Woonsocket,Rhode Island,2895.0,1450.0,235000.0,1
Rho111,4.0,2.0,0.25,Burrillville,Rhode Island,2859.0,2016.0,275000.0,1
Rho112,3.0,2.0,1.48,North Smithfield,Rhode Island,2896.0,1955.0,415000.0,1
Rho113,1.0,1.0,0.15,Burrillville,Rhode Island,2859.0,632.0,279900.0,0
Rho114,4.0,2.0,1.99,Burrillville,Rhode Island,2859.0,4692.0,489900.0,0
Rho115,2.0,1.0,0.66,Burrillville,Rhode Island,2859.0,960.0,299900.0,1
Rho116,2.0,2.0,,Woonsocket,Rhode Island,2895.0,1005.0,224900.0,1
Rho117,4.0,2.0,0.28,Burrillville,Rhode Island,2830.0,1600.0,375000.0,1
Rho118,4.0,3.0,4.06,North Smithfield,Rhode Island,2896.0,3510.0,649900.0,1
Rho119,3.0,1.0,0.24,North Smithfield,Rhode Island,2896.0,1478.0,399000.0,1
Rho120,3.0,1.0,0.13,Woonsocket,Rhode Island,2895.0,1056.0,319000.0,1
Rho121,9.0,3.0,0.11,Woonsocket,Rhode Island,2895.0,5936.0,449000.0,1
Rho122,3.0,2.0,1.49,North Smithfield,Rhode Island,2896.0,1977.0,550000.0,1
Rho123,,,4.54,North Smithfield,Rhode Island,2896.0,,320000.0,0
Rho124,8.0,3.0,0.15,Woonsocket,Rhode Island,2895.0,4991.0,475000.0,1
Rho125,2.0,2.0,,North Smithfield,Rhode Island,2896.0,1816.0,519900.0,1
Rho126,3.0,1.0,0.17,Woonsocket,Rhode Island,2895.0,926.0,177500.0,0
Rho127,3.0,2.0,0.38,North Smithfield,Rhode Island,2896.0,2448.0,399900.0,0
Rho128,6.0,3.0,0.16,Woonsocket,Rhode Island,2895.0,3580.0,319900.0,0
Rho129,3.0,2.0,0.22,Woonsocket,Rhode Island,2895.0,1556.0,324900.0,1
Rho130,9.0,3.0,0.18,Woonsocket,Rhode Island,2895.0,7468.0,650000.0,0
Rho131,3.0,1.0,0.94,North Smithfield,Rhode Island,2896.0,1056.0,340000.0,0
Rho132,5.0,3.0,0.14,Woonsocket,Rhode Island,2895.0,4165.0,325000.0,1
Rho133,3.0,2.0,1.16,Burrillville,Rhode Island,2858.0,2040.0,599000.0,0
Rho134,5.0,2.0,1.1,Glocester,Rhode Island,2814.0,2136.0,299900.0,1
Rho135,3.0,1.0,0.59,Burrillville,Rhode Island,2859.0,1584.0,265000.0,0
Rho136,3.0,2.0,0.46,Burrillville,Rhode Island,2859.0,1260.0,199900.0,0
Rho137,4.0,2.0,3.71,Glocester,Rhode Island,2814.0,2652.0,495000.0,1
Rho138,2.0,2.0,0.54,Glocester,Rhode Island,2814.0,672.0,225000.0,1
Rho139,5.0,3.0,2.1,Burrillville,Rhode Island,2859.0,3239.0,599000.0,1
Rho140,3.0,3.0,0.46,Glocester,Rhode Island,2814.0,1184.0,469900.0,1
Rho141,3.0,3.0,0.59,Glocester,Rhode Island,2814.0,1547.0,349999.0,1
Rho142,3.0,1.0,4.06,Glocester,Rhode Island,2814.0,1236.0,375000.0,0
Rho143,2.0,1.0,1.2,Glocester,Rhode Island,2814.0,1150.0,349900.0,0
Rho144,3.0,4.0,1.89,Burrillville,Rhode Island,2859.0,6000.0,995000.0,1
Rho145,2.0,1.0,0.66,Burrillville,Rhode Island,2859.0,960.0,299900.0,1
Rho146,1.0,1.0,0.15,Burrillville,Rhode Island,2859.0,632.0,279900.0,0
Rho147,3.0,2.0,0.38,Burrillville,Rhode Island,2859.0,1779.0,699000.0,1
Rho148,4.0,2.0,0.05,Providence,Rhode Island,2909.0,2336.0,150000.0,0
Rho149,2.0,1.0,0.14,Warwick,Rhode Island,2888.0,947.0,309900.0,0
Rho150,3.0,3.0,0.48,Cranston,Rhode Island,2921.0,3056.0,699900.0,1
Rho151,3.0,3.0,0.07,Providence,Rhode Island,2905.0,1331.0,319900.0,0
Rho152,3.0,3.0,0.36,East Providence,Rhode Island,2914.0,959.0,259900.0,1
Rho153,3.0,1.0,0.21,East Providence,Rhode Island,2915.0,1384.0,289900.0,0
Rho154,4.0,5.0,0.33,North Providence,Rhode Island,2911.0,2053.0,471977.0,1
Rho155,3.0,1.0,0.15,Johnston,Rhode Island,2919.0,1075.0,250000.0,0
Rho156,2.0,2.0,0.46,Lincoln,Rhode Island,2838.0,1272.0,335411.0,0
Rho157,6.0,5.0,0.12,Woonsocket,Rhode Island,2895.0,3700.0,450000.0,1
Rho158,4.0,3.0,0.91,North Kingstown,Rhode Island,2852.0,3608.0,1075000.0,0
Rho159,2.0,2.0,0.08,West Warwick,Rhode Island,2893.0,1195.0,249900.0,0
Rho160,4.0,4.0,5.24,Glocester,Rhode Island,2857.0,3073.0,1250000.0,0
Rho161,4.0,2.0,0.11,Pawtucket,Rhode Island,2861.0,2638.0,369900.0,1
Rho162,3.0,2.0,0.86,Scituate,Rhode Island,2831.0,1598.0,429900.0,0
Rho163,3.0,1.0,0.09,Cumberland,Rhode Island,2864.0,960.0,349900.0,1
Rho164,3.0,2.0,0.74,Middletown,Rhode Island,2842.0,2494.0,825000.0,1
Rho165,3.0,3.0,0.23,Middletown,Rhode Island,2842.0,1956.0,699999.0,0
Rho166,3.0,3.0,0.46,Burrillville,Rhode Island,2859.0,1769.0,1100000.0,0
Rho167,4.0,1.0,2.02,Burrillville,Rhode Island,2830.0,1368.0,339000.0,1
Rho168,3.0,2.0,8.5,Burrillville,Rhode Island,2830.0,3109.0,1200000.0,1
Rho169,3.0,2.0,4.02,Burrillville,Rhode Island,2859.0,1824.0,349000.0,1
Rho170,3.0,1.0,0.59,Burrillville,Rhode Island,2859.0,1584.0,265000.0,0
Rho171,3.0,1.0,2.06,Burrillville,Rhode Island,2859.0,1488.0,289000.0,1
Rho172,4.0,1.0,0.22,Burrillville,Rhode Island,2859.0,1476.0,345000.0,1
Rho173,3.0,2.0,0.46,Burrillville,Rhode Island,2859.0,1260.0,199900.0,0
Rho174,4.0,2.0,3.71,Glocester,Rhode Island,2814.0,2652.0,495000.0,1
Rho175,2.0,2.0,0.67,Burrillville,Rhode Island,2859.0,950.0,399900.0,0
Rho176,5.0,3.0,2.1,Burrillville,Rhode Island,2859.0,3239.0,599000.0,1
Rho177,2.0,1.0,,Burrillville,Rhode Island,2830.0,875.0,184500.0,0
Rho178,3.0,2.0,,Burrillville,Rhode Island,2859.0,1700.0,239900.0,1
Rho179,3.0,2.0,38.0,Burrillville,Rhode Island,2830.0,1546.0,499000.0,0
Rho180,4.0,2.0,0.7,Burrillville,Rhode Island,2830.0,2256.0,532900.0,0
Rho181,3.0,3.0,0.59,Glocester,Rhode Island,2814.0,1547.0,349999.0,1
Rho182,5.0,4.0,0.51,Burrillville,Rhode Island,2859.0,7306.0,549900.0,0
Rho183,3.0,3.0,0.21,Burrillville,Rhode Island,2859.0,2318.0,449000.0,1
Rho184,3.0,3.0,2.0,Burrillville,Rhode Island,2830.0,1500.0,449900.0,1
Rho185,2.0,1.0,1.2,Glocester,Rhode Island,2814.0,1150.0,349900.0,0
Rho186,3.0,4.0,1.89,Burrillville,Rhode Island,2859.0,6000.0,995000.0,1
Rho187,4.0,2.0,1.99,Burrillville,Rhode Island,2859.0,4692.0,489900.0,0
Rho188,4.0,2.0,0.28,Burrillville,Rhode Island,2830.0,1600.0,375000.0,1
Rho189,4.0,2.0,0.25,Burrillville,Rhode Island,2859.0,2016.0,275000.0,1
Rho190,2.0,1.0,0.66,Burrillville,Rhode Island,2859.0,960.0,299900.0,1
Rho191,1.0,1.0,0.15,Burrillville,Rhode Island,2859.0,632.0,279900.0,0
Rho192,3.0,2.0,1.16,Burrillville,Rhode Island,2858.0,2040.0,599000.0,0
Rho193,3.0,2.0,0.38,Burrillville,Rhode Island,2859.0,1779.0,699000.0,1
Rho194,4.0,2.0,2.02,Burrillville,Rhode Island,2830.0,1512.0,350000.0,0
Rho195,3.0,3.0,0.53,Burrillville,Rhode Island,2830.0,1642.0,399000.0,1
Rho196,3.0,2.0,0.21,North Smithfield,Rhode Island,2896.0,1949.0,299900.0,1
Rho197,5.0,4.0,0.12,Woonsocket,Rhode Island,2895.0,2595.0,215000.0,0
