ID,bed,bath,acre_lot,city,state,zip_code,house_size,price,sold_previously,latitude,longitude
Vermo1,3.0,1.0,3.4,Guilford,Vermont,5301.0,1335.0,200000.0,0,42.84346,-72.65901
Vermo2,6.0,3.0,2.56,Vernon,Vermont,5354.0,3108.0,515000.0,1,42.76211,-72.52553
Vermo3,3.0,1.0,3.4,Guilford,Vermont,5301.0,1335.0,200000.0,0,42.84346,-72.65901
Vermo4,6.0,3.0,2.56,Vernon,Vermont,5354.0,3108.0,515000.0,1,42.76211,-72.52553
Vermo5,5.0,4.0,4.0,Whitingham,Vermont,5361.0,3300.0,475000.0,0,42.78021,-72.87935
Vermo6,6.0,3.0,0.81,Pownal,Vermont,5261.0,2584.0,299900.0,0,42.77516,-73.21273
Vermo7,3.0,2.0,1.75,Stamford,Vermont,5352.0,2282.0,259800.0,0,42.78796,-73.07862
Vermo8,7.0,2.0,0.2,Readsboro,Vermont,5350.0,2912.0,152500.0,1,42.79879,-72.97187
Vermo9,1.0,2.0,0.2,Readsboro,Vermont,5350.0,2912.0,152500.0,0,42.79879,-72.97187
Vermo10,5.0,5.0,48.0,Stamford,Vermont,5352.0,5767.0,1075000.0,1,42.78796,-73.07862
Vermo11,2.0,2.0,8.7,Readsboro,Vermont,5350.0,1252.0,239000.0,1,42.79879,-72.97187
Vermo12,4.0,3.0,1.73,Vernon,Vermont,5354.0,2964.0,419000.0,0,42.76211,-72.52553
Vermo13,2.0,1.0,1.0,Guilford,Vermont,5301.0,1116.0,249000.0,1,42.84346,-72.65901
Vermo14,3.0,3.0,134.4,Halifax,Vermont,5358.0,2600.0,1450000.0,1,42.77396,-72.73164
Vermo15,4.0,3.0,1.73,Vernon,Vermont,5354.0,2964.0,419000.0,0,42.76211,-72.52553
Vermo16,9.0,9.0,0.74,Bennington,Vermont,5201.0,4995.0,529000.0,0,42.87652,-73.1426
Vermo17,7.0,2.0,0.2,Readsboro,Vermont,5350.0,2912.0,152500.0,1,42.79879,-72.97187
Vermo18,1.0,2.0,0.2,Readsboro,Vermont,5350.0,2912.0,152500.0,0,42.79879,-72.97187
Vermo19,3.0,2.0,1.75,Stamford,Vermont,5352.0,2282.0,259800.0,0,42.78796,-73.07862
Vermo20,5.0,5.0,48.0,Stamford,Vermont,5352.0,5767.0,1075000.0,1,42.78796,-73.07862
Vermo21,2.0,1.0,1.0,Readsboro,Vermont,5350.0,784.0,149000.0,1,42.79879,-72.97187
Vermo22,3.0,1.0,0.27,Bennington,Vermont,5201.0,1475.0,135000.0,1,42.87652,-73.1426
Vermo23,3.0,2.0,2.34,Pownal,Vermont,5261.0,1792.0,439900.0,0,42.77516,-73.21273
Vermo24,2.0,1.0,1.28,Bennington,Vermont,5201.0,906.0,191000.0,1,42.87652,-73.1426
Vermo25,2.0,2.0,3.0,Readsboro,Vermont,5350.0,1500.0,249000.0,0,42.79879,-72.97187
Vermo26,2.0,1.0,0.12,Bennington,Vermont,5201.0,784.0,89000.0,1,42.87652,-73.1426
Vermo27,2.0,2.0,8.7,Readsboro,Vermont,5350.0,1252.0,239000.0,1,42.79879,-72.97187
Vermo28,3.0,3.0,0.75,Whitingham,Vermont,5361.0,2600.0,425000.0,0,42.78021,-72.87935
Vermo29,3.0,1.0,0.15,Bennington,Vermont,5201.0,1144.0,169000.0,1,42.87652,-73.1426
Vermo30,3.0,1.0,0.24,Bennington,Vermont,5201.0,1152.0,189900.0,1,42.87652,-73.1426
Vermo31,4.0,1.0,0.34,Bennington,Vermont,5201.0,1358.0,199000.0,0,42.87652,-73.1426
Vermo32,1.0,1.0,7.04,Readsboro,Vermont,5350.0,640.0,119000.0,1,42.79879,-72.97187
Vermo33,3.0,2.0,1.07,Searsburg,Vermont,5363.0,1900.0,239000.0,0,42.88301,-72.89554
Vermo34,2.0,1.0,0.8,Searsburg,Vermont,5363.0,590.0,169000.0,0,42.88301,-72.89554
Vermo35,2.0,1.0,1.05,Woodford,Vermont,5201.0,840.0,174000.0,0,42.87652,-73.1426
Vermo36,6.0,3.0,2.56,Vernon,Vermont,5354.0,3108.0,515000.0,1,42.76211,-72.52553
Vermo37,4.0,3.0,1.73,Vernon,Vermont,5354.0,2964.0,419000.0,0,42.76211,-72.52553
Vermo38,3.0,2.0,1.75,Stamford,Vermont,5352.0,2282.0,259800.0,0,42.78796,-73.07862
Vermo39,5.0,5.0,48.0,Stamford,Vermont,5352.0,5767.0,1075000.0,1,42.78796,-73.07862
Vermo40,4.0,4.0,0.82,Guilford,Vermont,5301.0,2600.0,449000.0,0,42.84346,-72.65901
Vermo41,3.0,2.0,0.41,Bennington,Vermont,5201.0,1352.0,159900.0,1,42.87652,-73.1426
Vermo42,4.0,2.0,2.23,Pownal,Vermont,5261.0,1964.0,319900.0,0,42.77516,-73.21273
Vermo43,3.0,1.0,8.4,Pownal,Vermont,5261.0,2010.0,180000.0,0,42.77516,-73.21273
Vermo44,1.0,4.0,0.42,Pownal,Vermont,5261.0,3000.0,209000.0,0,42.77516,-73.21273
Vermo45,6.0,3.0,0.81,Pownal,Vermont,5261.0,2584.0,299900.0,0,42.77516,-73.21273
Vermo46,2.0,1.0,0.98,Pownal,Vermont,5261.0,1248.0,259900.0,0,42.77516,-73.21273
Vermo47,9.0,6.0,3.01,Pownal,Vermont,5261.0,3580.0,385000.0,0,42.77516,-73.21273
Vermo48,4.0,4.0,5.81,Pownal,Vermont,5261.0,7102.0,649000.0,0,42.77516,-73.21273
Vermo49,2.0,1.0,5.0,Pownal,Vermont,5261.0,1320.0,195000.0,1,42.77516,-73.21273
Vermo50,3.0,1.0,1.67,Pownal,Vermont,5261.0,1368.0,259000.0,0,42.77516,-73.21273
Vermo51,4.0,2.0,2.23,Pownal,Vermont,5261.0,1964.0,319900.0,0,42.77516,-73.21273
Vermo52,4.0,1.0,1.74,Bennington,Vermont,5257.0,1444.0,249900.0,0,42.96538,-73.25156
Vermo53,3.0,1.0,8.4,Pownal,Vermont,5261.0,2010.0,180000.0,0,42.77516,-73.21273
Vermo54,4.0,3.0,1.0,Wilmington,Vermont,5363.0,2461.0,789000.0,0,42.88301,-72.89554
Vermo55,9.0,9.0,0.74,Bennington,Vermont,5201.0,4995.0,529000.0,0,42.87652,-73.1426
Vermo56,1.0,4.0,0.42,Pownal,Vermont,5261.0,3000.0,209000.0,0,42.77516,-73.21273
Vermo57,3.0,2.0,0.1,Bennington,Vermont,5201.0,1023.0,140000.0,1,42.87652,-73.1426
Vermo58,6.0,3.0,0.81,Pownal,Vermont,5261.0,2584.0,299900.0,0,42.77516,-73.21273
Vermo59,3.0,2.0,1.75,Stamford,Vermont,5352.0,2282.0,259800.0,0,42.78796,-73.07862
Vermo60,2.0,1.0,0.98,Pownal,Vermont,5261.0,1248.0,259900.0,0,42.77516,-73.21273
Vermo61,7.0,2.0,0.2,Readsboro,Vermont,5350.0,2912.0,152500.0,1,42.79879,-72.97187
Vermo62,1.0,2.0,0.2,Readsboro,Vermont,5350.0,2912.0,152500.0,0,42.79879,-72.97187
Vermo63,3.0,2.0,0.34,Bennington,Vermont,5201.0,1716.0,199500.0,1,42.87652,-73.1426
Vermo64,3.0,1.0,0.27,Bennington,Vermont,5201.0,1475.0,135000.0,1,42.87652,-73.1426
Vermo65,3.0,2.0,1.5,Wilmington,Vermont,5363.0,1500.0,359000.0,0,42.88301,-72.89554
Vermo66,5.0,5.0,48.0,Stamford,Vermont,5352.0,5767.0,1075000.0,1,42.78796,-73.07862
Vermo67,2.0,1.0,1.0,Readsboro,Vermont,5350.0,784.0,149000.0,1,42.79879,-72.97187
Vermo68,3.0,2.0,2.34,Pownal,Vermont,5261.0,1792.0,439900.0,0,42.77516,-73.21273
Vermo69,4.0,3.0,0.51,Wilmington,Vermont,5363.0,1850.0,449000.0,0,42.88301,-72.89554
Vermo70,9.0,6.0,3.01,Pownal,Vermont,5261.0,3580.0,385000.0,0,42.77516,-73.21273
Vermo71,4.0,4.0,5.81,Pownal,Vermont,5261.0,7102.0,649000.0,0,42.77516,-73.21273
Vermo72,2.0,1.0,5.0,Pownal,Vermont,5261.0,1320.0,195000.0,1,42.77516,-73.21273
Vermo73,2.0,2.0,3.0,Readsboro,Vermont,5350.0,1500.0,249000.0,0,42.79879,-72.97187
Vermo74,2.0,1.0,0.12,Bennington,Vermont,5201.0,784.0,89000.0,1,42.87652,-73.1426
Vermo75,3.0,1.0,0.15,Bennington,Vermont,5201.0,1144.0,169000.0,1,42.87652,-73.1426
Vermo76,2.0,2.0,8.7,Readsboro,Vermont,5350.0,1252.0,239000.0,1,42.79879,-72.97187
Vermo77,1.0,1.0,7.04,Readsboro,Vermont,5350.0,640.0,119000.0,1,42.79879,-72.97187
Vermo78,3.0,1.0,0.24,Bennington,Vermont,5201.0,1152.0,189900.0,1,42.87652,-73.1426
Vermo79,4.0,1.0,0.34,Bennington,Vermont,5201.0,1358.0,199000.0,0,42.87652,-73.1426
Vermo80,3.0,2.0,1.07,Searsburg,Vermont,5363.0,1900.0,239000.0,0,42.88301,-72.89554
Vermo81,2.0,1.0,0.8,Searsburg,Vermont,5363.0,590.0,169000.0,0,42.88301,-72.89554
Vermo82,2.0,1.0,1.05,Woodford,Vermont,5201.0,840.0,174000.0,0,42.87652,-73.1426
Vermo83,5.0,2.0,0.22,Bennington,Vermont,5201.0,2169.0,169000.0,1,42.87652,-73.1426
Vermo84,4.0,3.0,0.17,Bennington,Vermont,5201.0,1794.0,269000.0,1,42.87652,-73.1426
Vermo85,3.0,1.0,3.4,Guilford,Vermont,5301.0,1335.0,200000.0,0,42.84346,-72.65901
Vermo86,5.0,4.0,4.0,Whitingham,Vermont,5361.0,3300.0,475000.0,0,42.78021,-72.87935
Vermo87,3.0,2.0,3.2,Halifax,Vermont,5358.0,1556.0,265000.0,0,42.77396,-72.73164
Vermo88,3.0,2.0,14.7,Halifax,Vermont,5358.0,4006.0,1200000.0,0,42.77396,-72.73164
Vermo89,3.0,2.0,0.5,Whitingham,Vermont,5361.0,1816.0,279000.0,0,42.78021,-72.87935
Vermo90,4.0,4.0,177.0,Halifax,Vermont,5358.0,7149.0,3500000.0,0,42.77396,-72.73164
Vermo91,2.0,1.0,1.0,Guilford,Vermont,5301.0,1116.0,249000.0,1,42.84346,-72.65901
Vermo92,3.0,2.0,10.14,Marlboro,Vermont,5344.0,1712.0,250000.0,0,42.83896,-72.73257
Vermo93,5.0,4.0,0.22,Wilmington,Vermont,5363.0,2998.0,269000.0,1,42.88301,-72.89554
Vermo94,4.0,2.0,10.19,Wilmington,Vermont,5363.0,2446.0,735000.0,1,42.88301,-72.89554
Vermo95,4.0,4.0,20.88,Whitingham,Vermont,5361.0,4000.0,825000.0,0,42.78021,-72.87935
Vermo96,4.0,4.0,0.25,Whitingham,Vermont,5342.0,4800.0,229000.0,0,42.77468,-72.80015
Vermo97,7.0,4.0,0.27,Wilmington,Vermont,5363.0,2800.0,269000.0,0,42.88301,-72.89554
Vermo98,3.0,3.0,0.75,Whitingham,Vermont,5361.0,2600.0,425000.0,0,42.78021,-72.87935
Vermo99,3.0,3.0,134.4,Halifax,Vermont,5358.0,2600.0,1450000.0,1,42.77396,-72.73164
Vermo100,12.0,5.0,30.0,Whitingham,Vermont,5342.0,7400.0,789000.0,0,42.77468,-72.80015
Vermo101,3.0,2.0,0.41,Bennington,Vermont,5201.0,1352.0,159900.0,1,42.87652,-73.1426
Vermo102,12.0,5.0,30.0,Whitingham,Vermont,5342.0,7400.0,789000.0,0,42.77468,-72.80015
Vermo103,4.0,2.0,2.23,Pownal,Vermont,5261.0,1964.0,319900.0,0,42.77516,-73.21273
Vermo104,3.0,2.0,0.56,Bennington,Vermont,5201.0,1996.0,350000.0,1,42.87652,-73.1426
Vermo105,3.0,1.0,8.4,Pownal,Vermont,5261.0,2010.0,180000.0,0,42.77516,-73.21273
Vermo106,8.0,2.0,0.65,Bennington,Vermont,5201.0,3831.0,375000.0,1,42.87652,-73.1426
Vermo107,4.0,5.0,0.08,Bennington,Vermont,5201.0,6650.0,769900.0,1,42.87652,-73.1426
Vermo108,3.0,2.0,0.52,Bennington,Vermont,5201.0,3230.0,299000.0,0,42.87652,-73.1426
Vermo109,1.0,2.0,0.12,Bennington,Vermont,5201.0,1680.0,265000.0,1,42.87652,-73.1426
Vermo110,1.0,4.0,0.42,Pownal,Vermont,5261.0,3000.0,209000.0,0,42.77516,-73.21273
Vermo111,9.0,9.0,0.74,Bennington,Vermont,5201.0,4995.0,529000.0,0,42.87652,-73.1426
Vermo112,5.0,4.0,4.0,Whitingham,Vermont,5361.0,3300.0,475000.0,0,42.78021,-72.87935
Vermo113,3.0,2.0,0.1,Bennington,Vermont,5201.0,1023.0,140000.0,1,42.87652,-73.1426
Vermo114,3.0,2.0,1.75,Stamford,Vermont,5352.0,2282.0,259800.0,0,42.78796,-73.07862
Vermo115,3.0,2.0,0.5,Whitingham,Vermont,5361.0,1816.0,279000.0,0,42.78021,-72.87935
Vermo116,3.0,2.0,3.2,Halifax,Vermont,5358.0,1556.0,265000.0,0,42.77396,-72.73164
Vermo117,3.0,3.0,0.18,Bennington,Vermont,5201.0,1461.0,239900.0,0,42.87652,-73.1426
Vermo118,7.0,2.0,0.2,Readsboro,Vermont,5350.0,2912.0,152500.0,1,42.79879,-72.97187
Vermo119,3.0,3.0,0.35,Bennington,Vermont,5201.0,2184.0,390000.0,1,42.87652,-73.1426
Vermo120,3.0,2.0,14.7,Halifax,Vermont,5358.0,4006.0,1200000.0,0,42.77396,-72.73164
Vermo121,1.0,2.0,0.2,Readsboro,Vermont,5350.0,2912.0,152500.0,0,42.79879,-72.97187
Vermo122,6.0,3.0,0.81,Pownal,Vermont,5261.0,2584.0,299900.0,0,42.77516,-73.21273
Vermo123,2.0,1.0,0.98,Pownal,Vermont,5261.0,1248.0,259900.0,0,42.77516,-73.21273
Vermo124,3.0,2.0,0.34,Bennington,Vermont,5201.0,1716.0,199500.0,1,42.87652,-73.1426
Vermo125,3.0,1.0,0.27,Bennington,Vermont,5201.0,1475.0,135000.0,1,42.87652,-73.1426
Vermo126,5.0,5.0,48.0,Stamford,Vermont,5352.0,5767.0,1075000.0,1,42.78796,-73.07862
Vermo127,4.0,4.0,177.0,Halifax,Vermont,5358.0,7149.0,3500000.0,0,42.77396,-72.73164
Vermo128,3.0,2.0,2.34,Pownal,Vermont,5261.0,1792.0,439900.0,0,42.77516,-73.21273
Vermo129,2.0,1.0,1.0,Readsboro,Vermont,5350.0,784.0,149000.0,1,42.79879,-72.97187
Vermo130,9.0,6.0,3.01,Pownal,Vermont,5261.0,3580.0,385000.0,0,42.77516,-73.21273
Vermo131,4.0,4.0,5.81,Pownal,Vermont,5261.0,7102.0,649000.0,0,42.77516,-73.21273
Vermo132,2.0,1.0,5.0,Pownal,Vermont,5261.0,1320.0,195000.0,1,42.77516,-73.21273
Vermo133,2.0,2.0,3.0,Readsboro,Vermont,5350.0,1500.0,249000.0,0,42.79879,-72.97187
Vermo134,4.0,4.0,0.25,Whitingham,Vermont,5342.0,4800.0,229000.0,0,42.77468,-72.80015
Vermo135,7.0,6.0,1.56,Bennington,Vermont,5201.0,5187.0,569000.0,0,42.87652,-73.1426
Vermo136,3.0,1.0,0.19,Bennington,Vermont,5201.0,1735.0,125000.0,0,42.87652,-73.1426
Vermo137,4.0,4.0,20.88,Whitingham,Vermont,5361.0,4000.0,825000.0,0,42.78021,-72.87935
Vermo138,2.0,1.0,0.12,Bennington,Vermont,5201.0,784.0,89000.0,1,42.87652,-73.1426
Vermo139,3.0,1.0,0.15,Bennington,Vermont,5201.0,1144.0,169000.0,1,42.87652,-73.1426
Vermo140,3.0,1.0,0.17,Bennington,Vermont,5201.0,1144.0,154900.0,1,42.87652,-73.1426
Vermo141,2.0,2.0,8.7,Readsboro,Vermont,5350.0,1252.0,239000.0,1,42.79879,-72.97187
Vermo142,1.0,1.0,7.04,Readsboro,Vermont,5350.0,640.0,119000.0,1,42.79879,-72.97187
Vermo143,4.0,2.0,0.05,Bennington,Vermont,5201.0,1440.0,129500.0,0,42.87652,-73.1426
Vermo144,3.0,3.0,0.75,Whitingham,Vermont,5361.0,2600.0,425000.0,0,42.78021,-72.87935
Vermo145,3.0,1.0,0.24,Bennington,Vermont,5201.0,1152.0,189900.0,1,42.87652,-73.1426
Vermo146,4.0,1.0,0.34,Bennington,Vermont,5201.0,1358.0,199000.0,0,42.87652,-73.1426
Vermo147,3.0,3.0,134.4,Halifax,Vermont,5358.0,2600.0,1450000.0,1,42.77396,-72.73164
Vermo148,2.0,1.0,0.14,Bennington,Vermont,5201.0,944.0,129000.0,0,42.87652,-73.1426
