zip,lat,lng,city,state_id,state_name,population
601,18.18027,-66.75266,Adjuntas,PR,Puerto Rico,17126
602,18.36075,-67.17541,Aguada,PR,Puerto Rico,37895
603,18.45744,-67.12225,Aguadilla,PR,Puerto Rico,49136
606,18.16585,-66.93716,Maricao,PR,Puerto Rico,5751
610,18.2911,-67.12243,Anasco,PR,Puerto Rico,26153
611,18.27698,-66.80688,Angeles,PR,Puerto Rico,1283
612,18.41283,-66.7051,Arecibo,PR,Puerto Rico,64090
616,18.41878,-66.6679,Bajadero,PR,Puerto Rico,10186
617,18.44598,-66.56006,Barceloneta,PR,Puerto Rico,22803
622,17.98892,-67.1566,Boqueron,PR,Puerto Rico,7751
623,18.08429,-67.15336,Cabo Rojo,PR,Puerto Rico,39652
624,18.05905,-66.71932,Penuelas,PR,Puerto Rico,21912
627,18.41905,-66.86037,Camuy,PR,Puerto Rico,32885
631,18.1852,-66.83169,Castaner,PR,Puerto Rico,1098
636,18.16354,-67.08014,Rosario,PR,Puerto Rico,1174
637,18.081,-66.94659,Sabana Grande,PR,Puerto Rico,23016
638,18.28462,-66.5137,Ciales,PR,Puerto Rico,17689
641,18.26742,-66.70212,Utuado,PR,Puerto Rico,24915
646,18.43251,-66.28429,Dorado,PR,Puerto Rico,36142
647,17.96667,-66.94266,Ensenada,PR,Puerto Rico,5198
650,18.34487,-66.58347,Florida,PR,Puerto Rico,14301
652,18.45614,-66.60194,Garrochales,PR,Puerto Rico,3193
653,17.99413,-66.90266,Guanica,PR,Puerto Rico,9099
656,18.04186,-66.79123,Guayanilla,PR,Puerto Rico,18633
659,18.41036,-66.79691,Hatillo,PR,Puerto Rico,37525
660,18.13412,-67.11399,Hormigueros,PR,Puerto Rico,15630
662,18.46622,-67.01508,Isabela,PR,Puerto Rico,40503
664,18.21064,-66.59066,Jayuya,PR,Puerto Rico,15132
667,18.01246,-67.0417,Lajas,PR,Puerto Rico,23665
669,18.27019,-66.86727,Lares,PR,Puerto Rico,27763
670,18.23782,-66.98852,Las Marias,PR,Puerto Rico,8744
674,18.42229,-66.4891,Manati,PR,Puerto Rico,39569
676,18.37897,-67.08098,Moca,PR,Puerto Rico,36849
677,18.33535,-67.23155,Rincon,PR,Puerto Rico,15225
678,18.42949,-66.93016,Quebradillas,PR,Puerto Rico,25763
680,18.16307,-67.36122,Mayaguez,PR,Puerto Rico,43070
682,18.22415,-67.15309,Mayaguez,PR,Puerto Rico,31816
683,18.10926,-67.03803,San German,PR,Puerto Rico,29664
685,18.33656,-66.97518,San Sebastian,PR,Puerto Rico,40169
687,18.31707,-66.42029,Morovis,PR,Puerto Rico,29069
